coff,method,moleculeName,PulayHelp,maxPH,maxSystem,IsMinnesota
3.6,revM06L,HeNe,0.06347312791667922,0.3350984142398657,NeNe,Minnesota
3.6,revM06L,NeNe,0.3350984142398657,0.3350984142398657,NeNe,Minnesota
3.8,R2SCAN,HeHe,-0.062262049674963293,0.3190728753393195,HeNe,Other
3.8,R2SCAN,HeNe,0.3190728753393195,0.3190728753393195,HeNe,Other
3.8,R2SCAN,NeNe,0.2647261658462341,0.3190728753393195,HeNe,Other
2.6,MN15L,HeHe,-0.16290720062762476,0.3142929134769978,NeNe,Minnesota
2.6,MN15L,HeNe,-0.36494875713378355,0.3142929134769978,NeNe,Minnesota
2.6,MN15L,NeNe,0.3142929134769978,0.3142929134769978,NeNe,Minnesota
4,revM11,HeHe,0.13053835721445836,0.3131079975895316,NeNe,Minnesota
4,revM11,HeNe,0.30746727376209454,0.3131079975895316,NeNe,Minnesota
4,revM11,NeNe,0.3131079975895316,0.3131079975895316,NeNe,Minnesota
2.2,M06L,HeHe,-0.13394109595008452,0.30975027862367077,NeNe,Minnesota
2.2,M06L,HeNe,0.26063203785121813,0.30975027862367077,NeNe,Minnesota
2.2,M06L,NeNe,0.30975027862367077,0.30975027862367077,NeNe,Minnesota
3,revM11,HeHe,0.30502034721818844,0.30502034721818844,HeHe,Minnesota
3,revM11,HeNe,0.16917162698412738,0.30502034721818844,HeHe,Minnesota
3,revM11,NeNe,-0.295857133994741,0.30502034721818844,HeHe,Minnesota
3.2,revM06,HeHe,0.06413045520299081,0.30272253472712113,NeNe,Minnesota
3.2,revM06,HeNe,0.18366818508750898,0.30272253472712113,NeNe,Minnesota
3.2,revM06,NeNe,0.30272253472712113,0.30272253472712113,NeNe,Minnesota
3.6,RSCAN,HeHe,-0.26819563520519873,0.29773860419948156,NeNe,Other
3.6,RSCAN,HeNe,0.0896622060141546,0.29773860419948156,NeNe,Other
3.6,RSCAN,NeNe,0.29773860419948156,0.29773860419948156,NeNe,Other
2.6,RSCAN,HeHe,0.2935048524211183,0.2935048524211183,HeHe,Other
2.6,RSCAN,HeNe,0.18363172478746004,0.2935048524211183,HeHe,Other
2.6,RSCAN,NeNe,-0.24351430558881487,0.2935048524211183,HeHe,Other
2.6,CAMQTP00,HeHe,0.28791131792416286,0.28791131792416286,HeHe,Other
2.6,CAMQTP00,HeNe,-0.058035667084439246,0.28791131792416286,HeHe,Other
2.6,CAMQTP00,NeNe,-0.16270573302491476,0.28791131792416286,HeHe,Other
2.8,CAMQTP00,HeHe,0.2856488557749152,0.2856488557749152,HeHe,Other
2.8,CAMQTP00,HeNe,-0.08495484459132278,0.2856488557749152,HeHe,Other
2.8,CAMQTP00,NeNe,-0.9735822879935203,0.2856488557749152,HeHe,Other
3.8,revM11,HeHe,0.14533854773682806,0.2840133639590729,HeNe,Minnesota
